Timing Information for run through:
Clocks Per second:, 1000000 
Init,40000, Clocks
Capture Images,60000, Clocks
Calc Disparity,10000, Clocks
Calc Depth,10000, Clocks
Segment Image,10000, Clocks
Feature Extraction,370000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,190000, Clocks
General Timing 1,180000, Clocks
General Timing 2,80000, Clocks
General Timing 3,0, Clocks
All Processing,450000, Clocks

Total Work Time,1400000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,50000, Clocks
Calc Disparity,10000, Clocks
Calc Depth,0, Clocks
Segment Image,0, Clocks
Feature Extraction,380000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,200000, Clocks
General Timing 1,180000, Clocks
General Timing 2,70000, Clocks
General Timing 3,0, Clocks
All Processing,500000, Clocks

Total Work Time,1420000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,10000, Clocks
Calc Depth,0, Clocks
Segment Image,0, Clocks
Feature Extraction,390000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,210000, Clocks
General Timing 1,180000, Clocks
General Timing 2,70000, Clocks
General Timing 3,0, Clocks
All Processing,500000, Clocks

Total Work Time,1420000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,0, Clocks
Calc Depth,0, Clocks
Segment Image,0, Clocks
Feature Extraction,420000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,210000, Clocks
General Timing 1,210000, Clocks
General Timing 2,80000, Clocks
General Timing 3,0, Clocks
All Processing,530000, Clocks

Total Work Time,1510000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,10000, Clocks
Calc Depth,0, Clocks
Segment Image,0, Clocks
Feature Extraction,390000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,210000, Clocks
General Timing 1,180000, Clocks
General Timing 2,80000, Clocks
General Timing 3,0, Clocks
All Processing,500000, Clocks

Total Work Time,1430000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,0, Clocks
Calc Depth,10000, Clocks
Segment Image,0, Clocks
Feature Extraction,390000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,200000, Clocks
General Timing 1,190000, Clocks
General Timing 2,70000, Clocks
General Timing 3,0, Clocks
All Processing,510000, Clocks

Total Work Time,1430000
Timing Information for run through:
Clocks Per second:, 1000000 
Init,30000, Clocks
Capture Images,30000, Clocks
Calc Disparity,0, Clocks
Calc Depth,10000, Clocks
Segment Image,0, Clocks
Feature Extraction,410000, Clocks
Histogram Generation,0, Clocks
Signtature Generation,0, Clocks
Audio Generation,0, Clocks
General Timing 0,210000, Clocks
General Timing 1,200000, Clocks
